question_id,question_text,question_type,introduction_text,request_for_answer_text,answer_options_text,instruction_text,quality_mean,language,study,domain,subdomain,concept,concept_subtype,response_scale_basic_choice,number_of_categories,position,question_name,is_gdpr_article_9
e7203351097d,"Und wo würden Sie auf dieser Skala die Partei einordnen, die Sie persönlich völlig ablehnen, wobei 0 für „links“ und 10 für „rechts“ steht?",select_one,"",und wo würden sie auf dieser skala die partei einordnen die sie persönlich völlig ablehnen?,"0 links
1
2
3
4
5
6
7
8
9
10 rechts","",0.668,German,ESS Round 4,National politics,.,Feeling,.,More than two-category scales,11,297,testc36,NA
69fa8d3b04a7,Having children is a financial burden.,select_one,"",having children is a financial burden,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.466,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,5,16,attchi13,NA
b515473e4cce,And on the whole how satisfied are you with the way democracy works in Ireland?,select_one,"",and on the whole how satisfied are you with the way democracy works in ireland?,"0 extremely dissatisfied
01
02
03
04
05 neither satisfied nor dissastied
07
08
09
10 extremely dissatisfied","",0.629,English,ESS Round 2,National politics,.,Feeling,.,More than two-category scales,11,411,testa13,NA
67149e3e4b2a,GPs usually treat their patients as their equals.,select_one,"",gps usually treat their patients as their equals,"1 agree strongly
2 agree
3 neither agree nor disagree
4 disagree
5 disagree strongly","",0.417,English,ESS Round 2,Health,Doctor's treatment,All other simple concepts,Evaluation,More than two-category scales,5,400,testa29,NA
328357637e17,"Schwule und Lesben sollten ihr Leben so führen dürfen, wie sie es wollen.",select_one,"",schwule und lesben sollten ihr leben so führen dürfen wie sie es wollen,"1. stimme stark zu
2. stimme zu
3. weder noch
4. stimme nicht zu
5. stimme überhaupt nicht zu","",0.592,German,ESS Round 4,National politics,.,All other simple concepts,Policy,More than two-category scales,5,293,testc32,NA
5441aaedb469,Before doctors decide ona treatment they rarely discuss it with their patient.,select_one,"",before doctors decide ona treatment they rarely discuss it with their patient,"1 Agree strongly
2 agree
3 neither agree nor disagree
4 disagree
5 disagree strongly","",-1.0,English,ESS Round 2,Health,Doctor's treatment,"Facts, background, or behaviour",.,More than two-category scales,5,405,testa07,NA
c61ef0b50fd2,"Und nun kreuzen Sie bitte an, wie sehr Sie den folgenden Aussagen zustimmen  oder nicht zustimmen.  Im Allgemeinen bin ich zufrieden mit der derzeitigen Wirtschaftslage in Österreich.",select_one,"",und nun kreuzen sie bitte an wie sehr sie den folgenden aussagen zustimmen oder nicht zustimmen im allgemeinen bin ich zufrieden mit der derzeitigen wirtschaftslage in österreich,"1. stimme stark zu
2. stimme zu
3. weder noch
4. stimme nicht zu
5. stimme überhaupt nicht zu","",0.574,German,ESS Round 4,National politics,.,Feeling,.,More than two-category scales,5,292,testc19,NA
8f471fc7d7f4,Now some questions about people from other countries coming to live in Ireland.  To what extent do you think Ireland should allow people of the same race or ethnic group as most Irish people to come and live here?,select_one,Now some questions about people from other countries coming to live in Ireland.,to what extent do you think ireland should allow people of the same race or ethnic group as most irish people to come and live here?,"1 Allow many to come and live here
2 Allow some
3 Allow a few 
4 Allow none",Now some questions about people from other countries coming to live in Ireland.,0.67,English,ESS Round 3,National politics,.,All other simple concepts,Policy,More than two-category scales,4,334,testb13,NA
6c21715c1992,Now for some questions on a different topic.  How much would you say the political system in [country] allows people like you to have a say in what the government does? Please tick one box.,select_one,Now for some questions on a different topic.,how much would you say the political system in [country] allows people like you to have a say in what the government does?,"Not at all
Very little
Some
A lot
A great deal",Now for some questions on a different topic.,0.5465,English,ESS Round 7,National politics,.,All other simple concepts,Policy,More than two-category scales,5,317,testf13,NA
70d43f47e053,Most days I feel a sense of accomplishment from what I do.,select_one,"",most days i feel a sense of accomplishment from what i do,"1 Agree strongly
2 Agree 
3 Neither agree nor disagree
4 Disagree 
5 Disagree strongly","",0.536,English,ESS Round 3,Work,Kind of work,Feeling,.,More than two-category scales,5,329,testb8,NA
be08503cc5dd,How old were you the first time you smoked part or all of a cigarette?,integer,"",how old were you the first time you smoked part or all of a cigarette?,I___I___I Years old,"",0.02933333333333336,English,AC_HAP,Health,Use of drugs,"Facts, background, or behaviour",.,Numerical open-ended answers,.,3,.,NA
b0f14e0fac49,Children are a financial burden on their parents.,select_one,"",children are a financial burden on their parents,"Completely agree
Agree
Disagree
Completely disagree","",0.496,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,4,16,attchi43,NA
57640ec9d02a,"Now, how important do you think being committed to the way of life in [country] should be in deciding whether someone born, brought up and living outside [country] should be able to come and live here? Please tick one box.",select_one,"",now how important do you think being committed to the way of life in [country] should be in deciding whether someone born brought up and living outside [country] should be able to come and live here?,"Extremely unimportant 00
01
02
03
04
05
06
07
08
09
Extremely important 10","",0.492,English,ESS Round 7,National politics,.,Importance of something,.,More than two-category scales,11,216,testf3,NA
03be8bda3a96,And how much do you agree or disagree that Ireland ´s cultural life is generally undermined by people coming to live here from other countries?,select_one,"",and how much do you agree or disagree that ireland ´s cultural life is generally undermined by people coming to live here from other countries?,"0 Disagree strongly
1
2
3
4
5
6
7
8
9
10 Agree strongly","",0.471,English,ESS Round 3,Leisure activities,"Cultural activities (theatre, concert, exhibitions, etc.)",Evaluative belief,.,More than two-category scales,11,338,testb17,NA
50a684c47e39,please choose one of the following to describe how much if at all your work puts your health and safety at risk.,select_one,"",one of the following to describe how much if at all your work puts your health and safety at risk,"1 not at all at risk
2 a little at risk
3 quite a lot at risk
4 very much at risk","",0.557,English,ESS Round 2,Work,Kind of work,Evaluative belief,.,More than two-category scales,4,406,testa21,NA
72b1e5ac8782,A child under school age is likely to suffer if his or her mother works.,select_one,"",a child under school age is likely to suffer if his or her mother works,"Completely agree
Agree
Disagree
Completely disagree","",0.492,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,4,7,genrol32,NA
04bada3b7f15,"Wo würden Sie auf dieser Skala die Partei einordnen, die Ihnen persönlich am liebsten ist?",select_one,"",wo würden sie auf dieser skala die partei einordnen die ihnen persönlich am liebsten ist?,"00. extrem links
01. 
02.
03.
04.
05.
06.
07.
08.
09.
10. extrem rechts","",0.627,German,ESS Round 4,National politics,.,Feeling,.,More than two-category scales,11,296,testc23,NA
542e0689a97f,Wie viel Zeit verbringen Sie an einem normalen Wochentag insgesamt mit Fernsehen? Geben Sie bitte die Zeit in Stunden und Minuten an.,integer,"",wie viel zeit verbringen sie an einem normalen wochentag insgesamt mit fernsehen? geben sie bitte die zeit in stunden und minuten an,Stunden und Minuten,"",-1.0,German,ESS Round 4,Leisure activities,Television,"Facts, background, or behaviour",.,Numerical open-ended answers,.,286,testc1,NA
c002d5852e30,Older people don’t really need to get the best seats on buses and trains.,select_one,"",older people don't really need to get the best seats on buses and trains,"Completely agree
Agree
Disagree
Completely disagree","",0.532,English,Pretest SDM 2019,Other domains,.,Complex concepts,Other,More than two-category scales,4,25,age45,NA
689a2b11584f,"In general, fathers are as well suited to look after their children as mothers.",select_one,"",in general fathers are as well suited to look after their children as mothers,"Strongly agree
Agree
Neither agree nor disagree 
Disagree
Strongly disagree","",0.461,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,5,12,Genrol17,NA
fefb47c135fc,Please choose one of the following to describe how secure your work is.,select_one,"",one of the following to describe how secure your work is,"1 not at all secure
2 a little secure
3 quite secure
4 very secure","",0.545,English,ESS Round 2,Work,Prospects/career,Evaluative belief,.,More than two-category scales,4,405,testa20,NA
9f3b64365576,"Was würden Sie ganz allgemein sagen: Wie sehr sind Sie vertieft in das, was Sie tun?",select_one,"",was würden sie ganz allgemein sagen: wie sehr sind sie vertieft in das was sie tun?,"0 überhaupt nicht vertieft
1
2
3
4
5
6 voll und ganz vertieft","",-1.0,German,ESS Round 6,Other domains,.,"Facts, background, or behaviour",.,More than two-category scales,7,11,teste11,NA
5499d8e90f8f,"Now thinking about the British government, how satisfied are you with the way it is doing its job? Please tick one box.",select_one,"",how satisfied are you with the way it is doing its job?,"Extremely dissatisfied




Extremely satisfied","",0.594,English,ESS Round 1,National politics,.,Feeling,.,More than two-category scales,6,276,TEST26,NA
a7d56a392518,The questions focus on the police in [country].  And how unsuccessful or successful do you think the police are at catching people who commit house burglaries in [country]?  And how successful do you think the police are at catching people who commit house  burglaries in [country]? Please tick one box.,select_one,The questions focus on the police in [country].,and how successful do you think the police are at catching people who commit house burglaries in [country]?,"0 Extremely unsuccessful
1 Very unsuccessful
2 Rather unsuccessful
3 Neither unsuccessful nor successful
4 Rather successful
5 Very successful
6 Extremely successful",The questions focus on the police in [country]. And how unsuccessful or successful do you think the police are at catching people who commit house burglaries in [country]?,0.522,English,ESS Round 5,National politics,.,All other simple concepts,Evaluation,More than two-category scales,7,303,testd05,NA
8a0068257d9d,I like planning and preparing for the future.,select_one,"",i like planning and preparing for the future,"1 Agree strongly
2 Agree 
3 Neither agree nor disagree
4 Disagree 
5 Disagree strongly","",0.544,English,ESS Round 3,Living conditions and background variables,Other,Feeling,.,More than two-category scales,5,330,testb9,NA
eeff43158865,"Do you think that most people would try to take advantage of you if they got the chance, or would they try to be fair ? Please tick one box.",select_one,"",do you think that most people would try to take advantage of you if they got the chance or would they try to be fair ?,"Most people would try to take advantage of me
      Most people would try to be fair","",0.497,English,ESS Round 1,Personal relations,Norms of other people,Evaluative belief,.,Two-category scales,.,279,TEST29,NA
8b263addab6b,"Glauben Sie, dass die meisten Menschen versuchen, Sie auszunutzen, wenn sie die  Möglichkeit dazu hätten, oder würden sie sich Ihnen gegenüber fair verhalten?",select_one,"",glauben sie dass die meisten menschen versuchen sie auszunutzen wenn sie die möglichkeit dazu hätten oder würden sie sich ihnen gegenüber fair verhalten?,"0. versuchen, mich auszunutzen
1.
2.
3.
4.
5. verhalten sich fair","",0.576,German,ESS Round 4,Personal relations,Norms of other people,Evaluative belief,.,More than two-category scales,6,287,testc26,NA
b9937cd5dbfe,Elderly people shouldn’t be so miserly with their money if younger relatives need it,select_one,"",elderly people shouldn't be so miserly with their money if younger relatives need it,"Strongly agree
Agree
Slightly agree
Neither agree nor disagree
Slightly disagree
Disagree
Strongly disagree","",0.457,English,Pretest SDM 2019,Family,Relations to relatives,Complex concepts,Other,More than two-category scales,7,25,age24,NA
1d0558cf81ef,Having children restricts the employment chances of one or both parents.,select_one,"",having children restricts the employment chances of one or both parents,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.48699999999999993,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,5,17,attchi54,NA
25e80e2efd22,Elderly people shouldn’t be so miserly with their money if younger relatives need it.,select_one,"",elderly people shouldn't be so miserly with their money if younger relatives need it,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.46,English,Pretest SDM 2019,Family,Relations to relatives,Complex concepts,Other,More than two-category scales,5,25,age54,NA
d6879a8ee946,"Und sollte der Staat sicherstellen, dass alle Gruppen in der Gesellschaft gleich behandelt werden?",select_one,"",und sollte der staat sicherstellen dass alle gruppen in der gesellschaft gleich behandelt werden?,"1. der Staat sollte dies ganz sicher tun
2. der Staat sollte dies wahrscheinlich sein.
3. weder dafür noch dagegen.
4. der Staat sollte dies wahrscheinlich nicht tun.
5. der Staat sollte dies ganz sicher nicht tun.","",0.638,German,ESS Round 4,National politics,.,All other simple concepts,Policy,More than two-category scales,5,297,testc12,NA
6c1d0356dba8,"Die Fragen beziehen sich darauf, wie Sie sich selbst und Ihr Leben sehen.  Was würden Sie ganz allgemein sagen: Wie sehr interessiert Sie, was Sie tun?",select_one,"Die Fragen beziehen sich darauf, wie Sie sich selbst und Ihr Leben sehen.",was würden sie ganz allgemein sagen: wie sehr interessiert sie was sie tun?,"0 es interessiert mich überhaupt nicht            
1
2 es interessiert mich voll und ganz","Die Fragen beziehen sich darauf, wie Sie sich selbst und Ihr Leben sehen.",0.491,German,ESS Round 6,Other domains,.,Evaluative belief,.,More than two-category scales,3,31,teste31,NA
9db2990fc58b,"On an average weekday, how much time, in total, do you spend reading the newspapers? Write in",integer,"",on an average weekday how much time in total do you spend reading the newspapers? write in,"hours
and minutes","",-1.0,English,ESS Round 1,Leisure activities,Newspapers/periodicals,"Facts, background, or behaviour",.,Numerical open-ended answers,.,277,TEST3A,NA
ee4920fb8f41,The next set of questions is about children and parenthood.  To what extent do you agree or disagree with the following statements?  Please select one answer for each statement.   Watching children grow up is life's greatest joy.,select_one,The next set of questions is about children and parenthood.,to what extent do you agree or disagree with the following statements? please select one answer for each statement watching children grow up is life's greatest joy,"Completely agree
Agree
Disagree
Completely disagree",The next set of questions is about children and parenthood.,0.432,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,4,14,attchi41,NA
ac07be2b8890,"Jetzt einige Fragen dazu, wie die Demokratie Ihrer Meinung nach gegenwärtig in Österreich funktioniert.  Wie oft können die Oppositionsparteien in Österreich Ihrer Meinung nach Kritik an der Regierung üben?",select_one,"Jetzt einige Fragen dazu, wie die Demokratie Ihrer Meinung nach gegenwärtig in Österreich funktioniert.",wie oft können die oppositionsparteien in österreich ihrer meinung nach kritik an der regierung üben?,"0 nie
1
2
3
4
5
6
7
8
9
10 immer","Jetzt einige Fragen dazu, wie die Demokratie Ihrer Meinung nach gegenwärtig in Österreich funktioniert.",0.531,German,ESS Round 6,National politics,.,All other simple concepts,Judgement,More than two-category scales,11,7,teste7,NA
42c9bd2ff7af,Men should take as much responsibility as women for the home and children.,select_one,"",men should take as much responsibility as women for the home and children,"Strongly agree
Agree
Neither agree nor disagree 
Disagree
Strongly disagree","",0.451,English,Pretest SDM 2019,Family,Household matters,Complex concepts,Other,More than two-category scales,5,13,genrol58,NA
09902b2ae557,"On an average weekday,how much time, in total, do you spend listening to the radio?  Please tick one box.",select_one,"",on an average weekday how much time in total do you spend listening to the radio?,"No time at all 
Very little time 
A little time 
Some time 
Quite a lot of time 
A lot of time 
A great deal of time","",-1.0,English,ESS Round 1,Leisure activities,Radio,"Facts, background, or behaviour",.,More than two-category scales,7,282,TEST20,NA
16cf1fddb44b,And about how many hours does your husband/wife/partner spend?  Write in hours,integer,"",and about how many hours does your husband/wife/partner spend? write in hours,.,"",-1.0,English,ESS Round 2,Family,Household matters,"Facts, background, or behaviour",.,Numerical open-ended answers,.,402,testa04,NA
2052048b6fcc,It is generally bad for Ireland’s economy that people come to live here from other countries,select_one,"",it is generally bad for ireland's economy that people come to live here from other countries,"0 Disagree strongly
1
2
3
4
5
6
7 Agree strongly","",0.477,English,ESS Round 3,National politics,.,All other simple concepts,Evaluation,More than two-category scales,8,325,testb28,NA
fae2874f14d3,The next set of questions is about the roles of men and women.  To what extent do you agree or disagree with the following statements?  Please select one answer for each statement.   A working mother can establish just as warm and secure a relationship with her children as a mother who does not work.,select_one,The next set of questions is about the roles of men and women.,to what extent do you agree or disagree with the following statements? please select one answer for each statement a working mother can establish just as warm and secure a relationship with her children as a mother who does not work,"Completely agree
Agree
Disagree
Completely disagree",The next set of questions is about the roles of men and women.,0.423,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,4,6,genrol41,NA
dd46e563437f,Wie viel Zeit verbringen Sie an einem normalen Wochentag insgesamt mit dem Lesen von Zeitungen? Geben Sie bitte die Zeit in Stunden und Minuten an.,integer,"",wie viel zeit verbringen sie an einem normalen wochentag insgesamt mit dem lesen von zeitungen? geben sie bitte die zeit in stunden und minuten an,Stunden und Minuten,"",-1.0,German,ESS Round 4,Leisure activities,Newspapers/periodicals,"Facts, background, or behaviour",.,Numerical open-ended answers,.,288,testc3,NA
7e19b9806f18,"Im Großen und Ganzen bin ich zufrieden mit der Art und Weise, wie die Demokratie in Österreich funktioniert.",select_one,"",im großen und ganzen bin ich zufrieden mit der art und weise wie die demokratie in österreich funktioniert,"1. stimme stark zu
2. stimme zu
3. weder noch
4. stimme nicht zu
5. stimme überhaupt nicht zu","",0.547,German,ESS Round 4,National politics,.,Feeling,.,More than two-category scales,5,294,testc21,NA
8f06c307b2ec,It is unfair that older people get to vote on issues that will impact younger people much more.,select_one,"",it is unfair that older people get to vote on issues that will impact younger people much more,"Completely agree
Agree
Disagree
Completely disagree","",0.559,English,Pretest SDM 2019,National politics,.,Complex concepts,Other,More than two-category scales,4,30,age40,NA
5dd6ed1e23b7,There are people in my life who really care about me,select_one,"",there are people in my life who really care about me,"1 Agree strongly
2 Agree 
3 Neither agree nor disagree
4 Disagree 
5 Disagree strongly","",0.491,English,ESS Round 3,Personal relations,Friends,Evaluative belief,.,More than two-category scales,5,344,testb23,NA
6a9b0063f357,The next few questions are on a different topic.  How much would you say the political system in [country] allows people like you to have a say in what the government does?  How much would you say that politicians care what people like you think? Please tick one box.,select_one,The next few questions are on a different topic.,how much would you say that politicians care what people like you think?,"Not at all
Very little
Some
Quite a lot
A lot",The next few questions are on a different topic. How much would you say the political system in [country] allows people like you to have a say in what the government does?,0.542,English,ESS Round 7,National politics,.,All other simple concepts,Judgement,More than two-category scales,5,219,testf6,NA
95fb3d34368a,"And when dealing with people in [country], how often would you say the police generally explain their decisions and actions when asked to do so? Please tick one box.",select_one,"",and when dealing with people in [country] how often would you say the police generally explain their decisions and actions when asked to do so?,"never 0
hardly ever 1
rarely 2
occasionally 3
sometimes 4
half of the time 5
more often than not 6
often 7
very often 8
almost always 9
always 10","",0.561,English,ESS Round 5,National politics,.,Evaluative belief,.,More than two-category scales,11,307,testd09,NA
cd79c831a97a,Now some questions about people from other countries coming to live in Ireland.  Please read each question and tick the box on each line that shows how much you agree or disagree with each statement.  Ireland should allow more people of the same race or ethnic group as most Irish people to come and live here,select_one,Now some questions about people from other countries coming to live in Ireland.,please read each question and tick the box on each line that shows how much you agree or disagree with each statement ireland should allow more people of the same race or ethnic group as most irish people to come and live here,"1 Agree strongly
2 Agree 
3 Neither agree nor disagree
4 Disagree 
5 Disagree strongly",Now some questions about people from other countries coming to live in Ireland.,0.513,English,ESS Round 3,National politics,.,All other simple concepts,Policy,More than two-category scales,5,322,testb1,NA
82f8616b1727,"People talk about the changing roles of men and women today.  For each of the following statements, can you tell me how much you agree or disagree with each.   Please choose one answer for each statement.  A working mother establishes just as warm and secure a relationship with her children as a mother who does not work.",select_one,People talk about the changing roles of men and women today.,for each of the following statements can you tell me how much you agree or disagree with each one answer for each statement a working mother establishes just as warm and secure a relationship with her children as a mother who does not work,"Strongly agree
Agree
Neither agree nor disagree 
Disagree
Strongly disagree",People talk about the changing roles of men and women today.,0.38,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,5,6,genrol11,NA
6d3ac454ae46,"Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.  Wie sehr haben Sie sich in der letzten Woche deprimiert oder niedergeschlagen gefühlt?  In welchem Maß haben Sie sich in der letzten Woche einsam gefühlt?",select_one,"Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.",in welchem maß haben sie sich in der letzten woche einsam gefühlt?,"0 überhaupt nicht einsam
1
2
3 äußerst einsam","Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten. Wie sehr haben Sie sich in der letzten Woche deprimiert oder niedergeschlagen gefühlt?",0.547,German,ESS Round 6,Health,Personal mental health condition,Feeling,.,More than two-category scales,4,15,teste15,NA
0ec8e351e37f,"If it weren’t for older people opposed to changing the way things are, we could probably progress much more rapidly as a society.",select_one,"",if it weren't for older people opposed to changing the way things are we could probably progress much more rapidly as a society,"Completely agree
Agree
Disagree
Completely disagree","",0.514,English,Pretest SDM 2019,Other domains,.,Complex concepts,Other,More than two-category scales,4,26,age46,NA
b4c13b6f6b76,"On an average weekday,how much time,  in total, do you spend reading the newspapers?  Please tick one box.",select_one,"",on an average weekday how much time in total do you spend reading the newspapers?,"No time at all 
Very little time 
A little time 
Some time 
Quite a lot of time 
A lot of time 
A great deal of time","",-1.0,English,ESS Round 1,Leisure activities,Newspapers/periodicals,"Facts, background, or behaviour",.,More than two-category scales,7,283,TEST21,NA
3fbaf45e5edd,Wie viel Zeit verbringen Sie an einem normalen Wochentag mit Radiohören? Geben Sie bitte die Zeit in Stunden und Minuten an.,integer,"",wie viel zeit verbringen sie an einem normalen wochentag mit radiohören? geben sie bitte die zeit in stunden und minuten an,Stunden und Minuten,"",-1.0,German,ESS Round 4,Leisure activities,Radio,"Facts, background, or behaviour",.,Numerical open-ended answers,.,287,testc2,NA
f1e863f1ae62,"And about how often would you say that the police make fair, impartial decisions in the cases they deal with? Please tick one box.",select_one,"",and about how often would you say that the police make fair impartial decisions in the cases they deal with?,"never 0
hardly ever 1
rarely 2
occasionally 3
sometimes 4
half of the time 5
more often than not 6
often 7
very often 8
almost always 9
always 10","",0.572,English,ESS Round 5,National politics,.,Evaluative belief,.,More than two-category scales,11,306,testd08,NA
d957b1f0583f,"Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.  Wie oft in der letzten Woche haben Sie sich deprimiert oder niedergeschlagen gefühlt?",select_one,"Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.",wie oft in der letzten woche haben sie sich deprimiert oder niedergeschlagen gefühlt?,"0 nie oder fast nie
1
2
3 immer oder fast immer","Nun ein paar Fragen dazu, wie Sie sich in der letzten Woche gefühlt haben oder was Sie in der letzten Woche getan haben könnten.",0.563,German,ESS Round 6,Health,Personal mental health condition,Feeling,.,More than two-category scales,4,4,teste4,NA
f2873219aebe,"People talk about the changing roles of men and women today.  Regardless of whether you yourself are in a partnership and/or have children, please tell me how much you agree or disagree with each of the following statements.   Please choose one answer for each statement.  A working mother can establish just as warm and secure a relationship with her child as a mother who does not work, and has more time for her child.",select_one,People talk about the changing roles of men and women today.,regardless of whether you yourself are in a partnership and/or have children how much you agree or disagree with each of the following statements one answer for each statement a working mother can establish just as warm and secure a relationship with her child as a mother who does not work and has more time for her child,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree",People talk about the changing roles of men and women today.,0.371,English,Pretest SDM 2019,Family,Relations to members,Complex concepts,Other,More than two-category scales,5,6,genrol21,NA
267e7de65310,And how confident are you in your own ability to participate in politics? Please tick one box.,select_one,"",and how confident are you in your own ability to participate in politics?,"00 Completely unconfident
01
02
03
04
05
06
07
08
09
10 Completely confident","",0.5589999999999999,English,ESS Round 7,Personal relations,Membership of organisations,Complex concepts,Other,More than two-category scales,11,221,testf8,NA
fcdafe809240,Do you believe nicotine is the chemical that causes most of the cancer caused by smoking cigarettes?,select_one,"",do you believe nicotine is the chemical that causes most of the cancer caused by smoking cigarettes?,"Definitely yes
Probably yes
Probably not
Definitely not","",0.469,English,AC_HAP,Health,Use of drugs,Evaluative belief,.,Two-category scales,.,3,.,NA
ed5c25594398,"Please say on a scale of 0 to 10 how much you personally trust the legal system. If you have no trust at all give a score of 0. If you have complete trust, give a score of 10. The more you trust the legal system, the higher the score should be.  Your score:  Please say on a scale of 0 to 10 how much you personally trust the police. If you have no trust at all give a score of 0.  If you have complete trust, give a score of 10. The more you trust the police, the higher the score should be.  Your score:",integer,"",please say on a scale of 0 to 10 how much you personally trust the police if you have no trust at all give a score of 0 if you have complete trust give a score of 10 the more you trust the police the higher the score should be your score:,.,"Please say on a scale of 0 to 10 how much you personally trust the legal system. If you have no trust at all give a score of 0. If you have complete trust, give a score of 10. The more you trust the legal system, the higher the score should be.
Your score:",0.643,English,ESS Round 1,National politics,.,Feeling,.,Numerical open-ended answers,.,283,TEST33,NA
9deea622e55c,Please indicate how much you agree or disagree with each of the following statements about men and women and their place in the family.  A women should not have to cut down on her paid work for the sake of the family.,select_one,Please indicate how much you agree or disagree with each of the following statements about men and women and their place in the family.,a women should not have to cut down on her paid work for the sake of the family,"1 agree stronbgly
2 agree
3 neither agree nor disagree
4 disagree
5 disagree strongly",Please indicate how much you agree or disagree with each of the following statements about men and women and their place in the family.,0.424,English,ESS Round 2,Family,Personal time budget,All other simple concepts,Norm,More than two-category scales,5,406,testa08,NA
57c832b32eea,Having a job is the best way for a woman to be an independent person.,select_one,"",having a job is the best way for a woman to be an independent person,"Strongly agree
Agree
Disagree
Strongly disagree","",0.524,English,Pretest SDM 2019,Work,Prospects/career,Complex concepts,Other,More than two-category scales,4,10,genrol05,NA
f21a20167c82,Being a housewife is just as fulfilling as working for pay.,select_one,"",being a housewife is just as fulfilling as working for pay,"Strongly agree
Agree
Neither agree nor disagree 
Disagree
Strongly disagree","",0.481,English,Pretest SDM 2019,Family,Household matters,Complex concepts,Other,More than two-category scales,5,9,genrol14,NA
4c338372b19b,The older generation has an unfair amount of political power compared to the younger generation.,select_one,"",the older generation has an unfair amount of political power compared to the younger generation,"Completely agree
Agree
Disagree
Completely disagree","",0.548,English,Pretest SDM 2019,National politics,.,Complex concepts,Other,More than two-category scales,4,27,age47,NA
ea1a7d41a853,The next set of questions is about older people.  To what extent do you agree or disagree with each of the following statements?  Please select one answer for each statement.   Older people are too big a burden on the healthcare system.,select_one,The next set of questions is about older people.,to what extent do you agree or disagree with each of the following statements? please select one answer for each statement older people are too big a burden on the healthcare system,"Completely agree
Agree
Disagree
Completely disagree",The next set of questions is about older people.,0.373,English,Pretest SDM 2019,Health,Other,Complex concepts,Other,More than two-category scales,4,21,age31,NA
53376dbf60a2,Most older people don’t know when to make way for younger people.,select_one,"",most older people don't know when to make way for younger people,"Completely agree
Agree
Disagree
Completely disagree","",0.543,English,Pretest SDM 2019,Other domains,.,Complex concepts,Other,More than two-category scales,4,27,age38,NA
d2fb571eb64e,"People come to live in [country] from other countries for different reasons. Some have ancestral ties. Others come to work here, or to join their families. Others come because they’re under threat. The questions are about this issue .  How important you think being able to speak English should be in deciding whether someone born, brought up and living outside [country] should be able to come and live here. Please tick one box.",select_one,"People come to live in [country] from other countries for different reasons. Some have ancestral ties. Others come to work here, or to join their families. Others come because they’re under threat. The questions are about this issue .",how important you think being able to speak english should be in deciding whether someone born brought up and living outside [country] should be able to come and live here,"Extremely unimportant
Very unimportant
Quite unimportant
Rather unimportant
A bit unimportant
Neither unimportant nor important
A bit important
Rather important
Quite important
Very important
Extremely important","People come to live in [country] from other countries for different reasons. Some have ancestral ties. Others come to work here, or to join their families. Others come because they’re under threat. The questions are about this issue .",0.429,English,ESS Round 7,National politics,.,Importance of something,.,More than two-category scales,11,214,testf10,NA
a12118062ffe,On the whole how satisfied are you with the present state of the economy in Ireland?,select_one,"",on the whole how satisfied are you with the present state of the economy in ireland?,"0 extremely dissatisfied
01
02
03
04
05 neither satisfied nor dissatisfied
06
07
08
09
10 extremely satisfied","",0.624,English,ESS Round 2,National politics,.,Feeling,.,More than two-category scales,11,409,testa11,NA
be1b5156ce81,Older people shouldn’t be so miserly with their money if younger relatives need it.,select_one,"",older people shouldn't be so miserly with their money if younger relatives need it,"Strongly agree
Agree
Slightly agree
Slightly disagree
Disagree
Strongly disagree","",0.49899999999999994,English,Pretest SDM 2019,Family,Relations to relatives,Complex concepts,Other,More than two-category scales,6,23,age04,NA
3884d3435c92,Before doctors decide on a treatment they usually discuss it with their patients.,select_one,"",before doctors decide on a treatment they usually discuss it with their patients,"1 agree stronlgly
2 agree
3 neither agree nor disagree
4 disagree
5 disagree strongly","",-1.0,English,ESS Round 2,Health,Doctor's treatment,"Facts, background, or behaviour",.,More than two-category scales,5,401,testa30,NA
